group,n,trip_distance_median,trip_distance_p25,trip_distance_p75,trip_duration_min_median,trip_duration_min_p25,trip_duration_min_p75,total_amount_median,total_amount_p25,total_amount_p75,cost_per_km_median,cost_per_km_p25,cost_per_km_p75,cost_per_min_median,cost_per_min_p25,cost_per_min_p75,fare_to_total_ratio_median,fare_to_total_ratio_p25,fare_to_total_ratio_p75,passenger_count_median,passenger_count_p25,passenger_count_p75,risk_score_median,risk_score_p25,risk_score_p75
anomalía,99847,16.4,0.01,19.53,38.93333333333333,0.5666666666666667,60.266666666666666,88.0,40.0,104.88,5.516782812417864,4.5580487804878045,7.68409271191394,2.894909404659189,1.5957177178571325,22.105263157894736,0.7629740518962076,0.6666666666666666,0.8718763434798948,1.0,1.0,2.0,2.0,1.0,4.0
normal,3228382,1.65,1.0,2.97,11.583333333333334,7.333333333333333,17.9,20.21,15.81,27.43,11.799999999999999,8.546153846153846,16.187499999999996,1.871101871101871,1.53125,2.379707092160447,0.6227106227106227,0.5422993492407808,0.7103548153511948,1.0,1.0,1.0,0.0,0.0,0.0
