feature,importance_mean,importance_std
risk_score,0.6535024983433189,0.00031207275565708594
passenger_count,0.1437318522904175,0.0001017763830051947
trip_duration_min,0.0670469736628982,0.00013199469939719594
fare_to_total_ratio,0.038769654413343235,9.637388091107593e-05
cost_per_km,0.009703470923751612,5.178354814342869e-05
cost_per_min,0.002432267492600215,3.1469397186159504e-05
trip_distance,0.0001680878644759076,6.787069917001808e-06
total_amount,0.00010332787227276263,3.983169937720139e-06
